Course,Description,Section,Date Times,Instructors
BUEC 542 - International Business,"Provides students with an introduction to the tools they will require to succeed in the increasingly international business world. Serves as a basis for other more advanced courses in International Business, covering such topics as Country Differences, International Trade, Foreign Direct Investment, Regional Economic Integration, The Foreign Exchange Market and International Business Strategy and Operations. This course will also cover selective topics in international macro economics. Prerequisite: BUEC 502 or 503. Not open to students who have taken BUEC 541.",LECTURE B01 (42549),2023-01-05 - 2023-04-12 M 14:00 - 16:50 (BUS 5-40A) 2023-01-05 - 2023-04-12 M 14:00 - 16:50 (BUS 5-40B),Guozhong Zhu
BUEC 610 - Principles of Real Estate,"Introduction to the principles of commercial real estate. Real estate markets and decision making; real estate economics and location; property development; Indigenous land considerations and government policy; marketing and property management; mortgage lending, real estate investment, brokerage and regulation. Industry guest speakers help link theory with industry practice in their areas of expertise.",LECTURE X50 (42523),2023-01-05 - 2023-04-12 W 17:00 - 20:00 (BUS 1-05),David Dale-Johnson
BUEC 613 - Real Estate Development,"A practicum about real estate development and decision making. Real estate development is a process during which the entrepreneur identifies a site which is underutilized, undertakes the necessary conceptual, design, market, economic, and financial analysis and brings the site to its highest and best use. Topics include market analysis of different types of real estate uses, massing studies, cost estimation and deal structuring, analysis of site constraints and regulation and financial analysis of to be-built properties. Students in teams undertake the background research and feasibility analysis related to a site and make a final proposal to the instructor. Prerequisites: BUEC 503, and FIN 501 or 502 (or consent of instructor).",LECTURE X50 (42576),2023-01-05 - 2023-04-12 T 17:00 - 20:00 (BUS B-09),David Dale-Johnson
BUEC 641 - Strategic Procurement,"Increasing competition and globalization of the supply chain have made cost competitiveness and procurement effectiveness key to successful business performance. Best-in-class procurement practices are essential to attaining global supply chain competitiveness today. This course introduces students to the principles of procurement and how they can help enhance cost and supply chain efficiency. Learning outcomes will be both strategic and tactical including topics such as the business function of procurement, the procurement process and organization, trends in organizational design, quality management, make - buy decisions, strategic cost management, strategic and global sourcing, supplier selection and management, inventory strategies, category management, performance measurement and evaluation, RFP (Request for Proposal) and contract management, negotiations and conflict management, and electronic sourcing. Prerequisite: BUEC 503.",LECTURE B01 (41004),2023-01-27 - 2023-01-29 FSU 08:00 - 16:50 (BUS 5-13) 2023-02-24 - 2023-02-25 FS 08:00 - 16:50 (BUS 5-13),Edy Wong
BUEC 641 - Strategic Procurement,"Increasing competition and globalization of the supply chain have made cost competitiveness and procurement effectiveness key to successful business performance. Best-in-class procurement practices are essential to attaining global supply chain competitiveness today. This course introduces students to the principles of procurement and how they can help enhance cost and supply chain efficiency. Learning outcomes will be both strategic and tactical including topics such as the business function of procurement, the procurement process and organization, trends in organizational design, quality management, make - buy decisions, strategic cost management, strategic and global sourcing, supplier selection and management, inventory strategies, category management, performance measurement and evaluation, RFP (Request for Proposal) and contract management, negotiations and conflict management, and electronic sourcing. Prerequisite: BUEC 503.",LECTURE B02 (49979),2023-01-06 - 2023-01-08 FSU 08:00 - 16:50 (BUS 5-40A) 2023-02-04 - 2023-02-05 SU 08:00 - 16:50 (BUS 3-06),Edy Wong
BUEC 663 - Natural Resources and Energy Capstone,"A project-focused course dealing with international market, business and policy issues and challenges in the energy, environment and natural resources sectors. A course designed around an international trip with a focus on knowledge integration and application to international markets through an intense set of visits with firms, organizations and government agencies. The specific content including the location of the trip and issues addressed changes from year to year. The course involves both teamwork and individual research. In exceptional circumstances students can complete an additional project if they are unable to complete the travel component of the course. The course is open only to students registered in the NREE specialization in the final year of the MBA program. Prerequisites: Completion of all core and NREE required courses, or permission from the program office.",LECTURE 850 (42534),No scheduled class times,
BUEC 663 - Natural Resources and Energy Capstone,"A project-focused course dealing with international market, business and policy issues and challenges in the energy, environment and natural resources sectors. A course designed around an international trip with a focus on knowledge integration and application to international markets through an intense set of visits with firms, organizations and government agencies. The specific content including the location of the trip and issues addressed changes from year to year. The course involves both teamwork and individual research. In exceptional circumstances students can complete an additional project if they are unable to complete the travel component of the course. The course is open only to students registered in the NREE specialization in the final year of the MBA program. Prerequisites: Completion of all core and NREE required courses, or permission from the program office.",LECTURE 851 (40133) ONLINE,No scheduled class times,
BUEC 686 - Selected Topics in Business Economics,Topics may vary from year to year. Students should check with the MBA Office for pre/corequisites of specific sections.,LECTURE B01 (42474),2023-01-05 - 2023-04-12 MWF 15:00 - 15:50 (BUS 3-05),Longzhou Wang
BUEC 820 - Business Economics,"Outlining the main schools of economic theory, macroeconomic tools and the effects of macroeconomic policy on business performance; reviewing decision-making processes of individual firms, as well as consumer behavior, price theory, marginal analysis, and forms of competition. Restricted to Executive MBA students only.",LECTURE B01 (42581),No scheduled class times,
BUEC 850 - Business/Government Interface,A week-long intensive course. Understanding trends affecting business decision making; the regulatory environment; business/government interfaces; and the management of public affairs. Restricted to Executive MBA students only.,LECTURE B01 (49313),No scheduled class times,
BUEC 888 - Business Project Part 1-4,Students are required to complete a custom designed project for a client company and prepare a business plan. The company selected could be the student's own organization or a unit within the organization. Restricted to students registered in the MBA China Program.,LECTURE 850 (47623),No scheduled class times,Edy Wong
BUEC 888 - Business Project Part 1-4,Students are required to complete a custom designed project for a client company and prepare a business plan. The company selected could be the student's own organization or a unit within the organization. Restricted to students registered in the MBA China Program.,LECTURE 852 (50114),No scheduled class times,Edy Wong
BUS 301 - Business Communications,"This is a practical skill development course open to students of all majors in any year of a Business program. Good communication in business matters. This course will help develop writing confidence and strategies for professional business applications. The focus is on hands-on guided practice and uses business scenarios to emphasize technical and persuasive writing as well as an understanding of the skills required to begin a successful business career. In addition students will develop a strong resume, cover letter and a personal brand. Restricted to Third and Fourth Year Students.",LECTURE B01 (49105),2023-01-05 - 2023-04-12 TH 12:30 - 13:50 (BUS 3-06),Michelle Height
BUS 480 - Special Projects Course,This course applies the techniques developed in several Business courses to a group project or a business case analysis. The emphasis in the projects is on integrated approaches to business problems. Student groups will work on consulting projects from businesses and other organizations in and near Edmonton. Groups will work on their projects under the supervision of the instructor(s). An approved preliminary proposal is required. Prerequisites: Consent of Instructor and the Undergraduate Office. Open only to fourth year students.,LECTURE 850 (41358),No scheduled class times,"Co-Instructor:  Leo Wong
                                                        
                                                        
Co-Instructor:  Michelle Inness"
BUS 501 - Business Skills Orientation,"Orientation to the MBA program, including primers on team building, ethics and academic integrity, time/life management, public speaking, library resources, career planning and business etiquette.",LECTURE 850 (50026) ONLINE,No scheduled class times,Chris Lynch
BUS 501 - Business Skills Orientation,"Orientation to the MBA program, including primers on team building, ethics and academic integrity, time/life management, public speaking, library resources, career planning and business etiquette.",LECTURE B01 (49985),2023-01-06 13:00 - 18:00 (BUS 5-13),Paul Taylor
BUS 501 - Business Skills Orientation,"Orientation to the MBA program, including primers on team building, ethics and academic integrity, time/life management, public speaking, library resources, career planning and business etiquette.",LECTURE B02 (50027),2023-01-27 14:30 - 15:50 (Location TBD) 2023-02-09 14:30 - 15:50 (Location TBD) 2023-03-09 14:30 - 15:50 (Location TBD) 2023-04-06 14:30 - 15:50 (Location TBD),Paul Taylor
BUS 504 - Career Management Skills,"This course prepares students for long-term career success by examining career goals and strategy, networking, personal branding, tailored job applications, and ongoing career management.",LECTURE B02 (49834),2023-01-05 - 2023-02-27 M 10:30 - 11:50 (BUS 5-40A),Paul Taylor
BUS 505 - Ethics and Corporate Social Responsibility,"This course explores the ethical challenges facing business leaders today, and how individuals and firms can address those challenges. The course aims to enhance the skills and expertise of students through combining examination of ethical and managerial theory with discussion of common ethical problems in context. Contemporary ethical and social issues will be examined through the use of case studies, class discussions and debates. Course material includes individual ethical theory, the development of ethical organizational culture, the development of ethical management systems designed to respond to ethical challenges, and wide-ranging discussion regarding major trends, challenges, and opportunities in the field of ethical business.",LECTURE B01 (42579),2023-01-05 - 2023-04-12 T 09:00 - 11:50 (BUS 5-40A) 2023-01-05 - 2023-04-12 T 09:00 - 11:50 (BUS 5-40B),Rick Brick
BUS 601A - Business Practicum,Students are divided into groups and the groups are assigned a project in either a business or government organization. At the end of the course each group is required to write a report and to make a presentation derived from the project to the other groups in the course. Prerequisite: All required Year 1 MBA core courses.,LECTURE B01 (42488),No scheduled class times,
BUS 601B - Business Practicum,Students are divided into groups and the groups are assigned a project in either a business or government organization. At the end of the course each group is required to write a report and to make a presentation derived from the project to the other groups in the course. Prerequisite: All required Year 1 MBA core courses.,LECTURE B01 (42473),No scheduled class times,
BUS 648 - MBA International Study Tour,"Combines lectures at the University of Alberta with an onsite study tour to a foreign country. The study tour component is normally for a one-to-two week period, during which students participate in company tours and lectures, to develop an appreciation for different business cultures and contexts. Students are usually expected to complete projects or case studies relating to the country under study. Check with MBA office for enrolment restrictions. Credit will not be given for both BUS 648 and any other study tour to the same destination. Students may receive credit for only two of the following three courses: BUS 648, BUEC 648, SEM 648.",LECTURE 850 (49986),No scheduled class times,
BUS 701 - Qualitative Methodology for Business Research,"Examines qualitative research methods as they apply to business research. Includes: the terrain and history of qualitative research, exploring different approaches to qualitative research, designing qualitative research, strategies of inquiry, qualitative data analysis, writing up research, and professional and ethical issues. Prerequisite: Registration in Business PhD Program or written permission of instructor. Approval of the Business PhD Program Director is also required for non-PhD students.",LECTURE B1 (48804),2023-01-05 - 2023-04-12 H 13:00 - 15:50 (HC 4-42),Trish Reay
BUS 715 - Experimental Methods for Behavioural Science,"The objective of this course is to provide students with an understanding of the essential principles and techniques for conducting scientific experiments on human behavior. It is tailored for individuals with an interest in doing research using experimental methods in areas such as psychology, judgment and decision making, consumer behavior, behavioral economics and finance, organizational behavior, and human performance. Classes are conducted in an interactive seminar format, with extensive discussion of concrete examples, challenges, and solutions. Prerequisites: Registration in the Business PhD Program or permission of instructor. Approval of the Associate Dean for the Business PhD Program also required for non-PhD students.",LECTURE B01 (40135),No scheduled class times,Gerald Haeubl
BUS 800 - Supply Chain Management,"This course introduces students to the fundamentals of Supply Chain Management and how it relates to a firm's competitiveness. Emphasis will be placed on the role of SCM in transforming global business practices and relations. SCM informs how a firm would source, design, produce, and market its products in today's global environment. Topics will include global business trends, current supply chain practices, international procurement, logistics and inventory management, performance assessment, supply management and SCM strategy in a global environment. Restricted to students registered in the MBA China Program.",LECTURE 850 (50119),No scheduled class times,Edy Wong
BUS 802 - International Marketing,"Topics in international marketing, including the importance of international marketing to Canadian business, comparative marketing systems, evaluation of socioeconomic influences on international marketing, and marketing strategies as they relate to firm size. Restricted to students registered in the MBA China Program.",LECTURE 850 (50070),No scheduled class times,
BUS 808 - International Study Tour,"A week-long intensive course. Understanding the challenges facing local companies in their environment, for example, Asia or Eastern Europe. An on-site visit to the location is included. Restricted to students registered in the MBA China Program.",LECTURE 850 (50118),No scheduled class times,Edy Wong
BUS 855 - International Study Tour,"A week-long intensive course. Understanding the challenges facing local companies in their environment, for example, Asia or Eastern Europe. An on-site visit to the location is included. Restricted to Executive MBA students only.",LECTURE B01 (42567),No scheduled class times,
BUS 860 - Special Topics,Topics will vary from year to year. Restricted to Executive MBA students only.,LECTURE B01 (42152),No scheduled class times,
BUS 875 - Special Topics,Topics will vary from year to year. Restricted to Executive MBA students only.,LECTURE B01 (42582),No scheduled class times,
BUS 875 - Special Topics,Topics will vary from year to year. Restricted to Executive MBA students only.,LECTURE B02 (41967),No scheduled class times,
BUS 880B - Business Project,Students are required to complete a custom designed project for a client company and prepare a business plan. The company selected could be the student's own organization or a unit within the organization. Restricted to Executive MBA students only.,LECTURE C1 (49300),No scheduled class times,Tony Briggs
BUS 900A - Directed Research Project,No scheduled class times,SEMINAR B1 (49925),No scheduled class times,Trish Reay
BUS 900B - Directed Research Project,No scheduled class times,SEMINAR B1 (49926),No scheduled class times,Trish Reay
C LIT 102 - World Literature II,"An introduction to major works of the world's literary heritage, presented in their historical, social, and cultural contexts. Covers the period from the 17th century through the present day. Not open to students with credit in C LIT 100.",LECTURE 850 (40163) ONLINE,2023-01-05 - 2023-04-12 TH 09:30 - 10:50,Jerry Varsava
"C LIT 228 - Literature, Popular Culture, and the Visual Arts","Poetics of such popular genres as crime fiction, spy fiction, the horror story, etc., and their relation to mainstream literature and culture.",LECTURE B1 (47199),2023-01-05 - 2023-04-12 TH 14:00 - 15:20 (HC 2-11),Florian Mundhenke
C LIT 243 - Fairy Tales and Folk Tales,A survey of European fairy tales and an introduction to critical and theoretical approaches to the folk tale in general and the fairy tale in particular.,LECTURE B1 (45457),2023-01-05 - 2023-04-12 MWF 11:00 - 11:50 (T BW-1),Irene Sywenky
C LIT 358 - Great Themes of Literature and Art,"The international and interdisciplinary study of selected international mythical and legendary themes and motifs, such as Faust and Don Juan, their origin, and their literary and artistic developments.",LECTURE B1 (48452),2023-01-05 - 2023-04-12 MWF 12:00 - 12:50 (T 1-108),Gary Kelly
C LIT 499 - Honors Tutorial and Essay,Preparation of the Honors Essay.,SEMINAR B1 (40236),No scheduled class times,
CATS 321 - Art Therapy Fundamentals,"Art therapy, a specialized field in counseling psychology, provides a natural vehicle for promoting integrative, holistic approach to psychological healing. Explores the theory and application of art therapy to spirituality and healing settings. This course will be experientially based, with a lecture and seminar portion. Note: Not open to students with credit in CHRTP 321.",LECTURE X50 (44899),2023-01-05 - 2023-04-12 H 17:30 - 18:20 (SS 305),Marie Butler
CATS 321 - Art Therapy Fundamentals,"Art therapy, a specialized field in counseling psychology, provides a natural vehicle for promoting integrative, holistic approach to psychological healing. Explores the theory and application of art therapy to spirituality and healing settings. This course will be experientially based, with a lecture and seminar portion. Note: Not open to students with credit in CHRTP 321.",SEMINAR X51 (44900),2023-01-05 - 2023-04-12 H 18:30 - 20:30 (SS 305),Marie Butler
CATS 381 - Introduction to Music Therapy,"Introduction to the discipline of music therapy: physical, mental, social, emotional, and spiritual applications of music. Note: Not open to students with credit in CHRTP 381.",LECTURE X50 (44903),2023-01-05 - 2023-04-12 W 17:30 - 18:20 (SS 305),Sheila Killoran
CATS 381 - Introduction to Music Therapy,"Introduction to the discipline of music therapy: physical, mental, social, emotional, and spiritual applications of music. Note: Not open to students with credit in CHRTP 381.",SEMINAR X51 (44904),2023-01-05 - 2023-04-12 W 18:30 - 20:30 (SS 305),Sheila Killoran
CATS 382 - Introduction to Drama Therapy,"Explores the role of drama therapy in health and spirituality: masks, puppets, theatre games, improvisation, role-play, playback theatre, and psychodrama in various therapeutic settings. Note: Not open to students with credit in CHRTP 382.",LECTURE X50 (46586),2023-01-05 - 2023-04-12 T 17:30 - 18:20 (SS 305),Cayley McConaghy
CATS 382 - Introduction to Drama Therapy,"Explores the role of drama therapy in health and spirituality: masks, puppets, theatre games, improvisation, role-play, playback theatre, and psychodrama in various therapeutic settings. Note: Not open to students with credit in CHRTP 382.",SEMINAR X51 (46587),2023-01-05 - 2023-04-12 T 18:30 - 20:30 (SS 305),Cayley McConaghy
CATS 383 - Psychotherapy and Spirituality: An Introduction,"An introduction to the theory and practice of psychotherapy, with emphasis on spirituality as an essential component of therapeutic care. Students will examine their personal worldviews, explore their emerging caregiver identities, and engage with contemporary challenges of integrating psychotherapy and spirituality. Note: Not open to students with credit in CHRTP 383.",LECTURE B1 (48350),2023-01-05 - 2023-04-12 TH 09:30 - 09:50 (SS 304),Roger Thiessen
CATS 383 - Psychotherapy and Spirituality: An Introduction,"An introduction to the theory and practice of psychotherapy, with emphasis on spirituality as an essential component of therapeutic care. Students will examine their personal worldviews, explore their emerging caregiver identities, and engage with contemporary challenges of integrating psychotherapy and spirituality. Note: Not open to students with credit in CHRTP 383.",SEMINAR J1 (48351),2023-01-05 - 2023-04-12 TH 10:00 - 10:50 (SS 304),Roger Thiessen
CEDUL 503 - Dimensions politiques et administratives de l'éducation bilingue,Étude des structures de l'éducation française et bilingue dans les diverses provinces canadiennes et du rapport existant entre ces structures et le contexte sociopolitique.,LECTURE 850 (40068) ONLINE,No scheduled class times,Robert Lessard
CELL 301 - Advanced Cell Biology II,"A continuation of CELL 300, covering Cell Biology topics in greater depth, and exploring recent developments in the field. Intended for, but not restricted to, students in the Cell Biology Honors and Specialization programs. Recommended prerequisite: CELL 300 or consent of Department.",LECTURE B1 (43417),2023-01-05 - 2023-04-12 TH 11:00 - 12:20 (ECHA 2-140),"Richard Wozniak
                                                        
                                                        
Co-Instructor:  Thomas Simmen"
CELL 302 - Diversity of the Cell,"A cross-sectional study of human cells and their specialized functions. The function of neurons, adipocytes, myocytes, epithelial cells, endothelia cells and other cell types will be explored. Current literature will be used when possible. Prerequisite: CELL 201 or BIOL 201.",LECTURE B1 (41732),2023-01-05 - 2023-04-12 MWF 11:00 - 11:50 (ECHA 2-150),"Co-Instructor:  Andrew Simmonds
                                                        
                                                        
Co-Instructor:  Sarah Hughes
                                                        
                                                        
Qiumin Tan"
CELL 398 - Research Project,"Directed research carried out in a laboratory of a member participating in the Cell Biology Program. Credit may be obtained for this course only once. Successful completion requires a written report on the research project. Normally for students in their third year of study. Prerequisite: any 300-level Science course, CELL 300 recommended, and the consent of the Cell Biology Associate Chair, Undergraduate Studies. Closed to web registration.",LAB B1 (43524),No scheduled class times,Tom Hobman
CELL 402 - The Birth and Death of a Cell,"An advanced course dealing with cell differentiation, intracellular and extracellular signaling processes, the cell cycle, apoptosis and necrosis. Consists of lecture material and small group learning sessions. Topics include stem cell research, cancer therapy and human disorders involving cell death (e.g., Alzheimer's and cardiovascular disease). Requires reading and discussion of current research articles. Prerequisite: CELL 201 or BIOL 201 and any 300-level Science course (CELL 3xx or BIOCH 3xx recommended) or consent of Department.",LECTURE B1 (43494),2023-01-05 - 2023-04-12 TH 12:30 - 13:50 (ECHA 2-420),"Andrew Simmonds
                                                        
                                                        
Co-Instructor:  Gary Eitzen"
CELL 498 - Research Project,"Directed research carried out in a laboratory of an assigned member participating in the Cell Biology Program. Credit may be obtained for this course more than once. Successful completion requires a written report on the research project. Prerequisites: A 300-level CELL, Biological Sciences, or Biochemistry course and the consent of the Cell Biology Associate Chair, Undergraduate Studies. Closed to web registration.",LAB B1 (43418),No scheduled class times,Tom Hobman
CELL 502 - The Birth and Death of a Cell,"An advanced course dealing with cell differentiation, intracellular and extracellular signaling processes, the cell cycle, apoptosis and necrosis. Consists of lecture material and small group learning sessions. Topics include stem cell research, cancer therapy and human disorders involving cell death (e.g. Alzheimer's and cardiovascular disease). Will require reading and discussion of current research articles. Lectures are the same as for CELL 402 but with additional assignments and evaluation appropriate to graduate studies. May not be taken if credit has already been obtained in CELL 402. Prerequisites: Consent of the Department.",LECTURE B1 (44425),2023-01-05 - 2023-04-12 TH 12:30 - 13:50 (ECHA 2-420),"Andrew Simmonds
                                                        
                                                        
Co-Instructor:  Gary Eitzen"
CELL 671B - Recent Advances in Cell Biology,A seminar course on topics of current interest in Cell Biology. Students will attend seminars and contribute a journal club presentation based on recent developments published in first rate journals. Note: Open only to Graduate students in Cell Biology.,SEMINAR C1 (43468),2023-01-13 - 2023-04-12 F 12:00 - 12:50 (MS 6-28),Richard Wozniak
CELL 672B - Recent Advances in Cell Biology,A seminar course on topics of current interest in Cell Biology. Students will attend seminars and contribute a presentation on their research project that includes original data. Prerequisite: CELL 671 or consent of the Department. Note: Open only to Graduate students in Cell Biology.,SEMINAR C1 (43477),2023-01-13 - 2023-04-12 F 12:00 - 12:50 (MS 6-28),Richard Wozniak
CELL 698 - Undergraduate Research Mentoring,"A credit/no-credit course for graduate students who are actively participating in the mentorship of undergraduate students in a half term research course (e.g. CELL 398 and 498) in the Department of Cell Biology. Mentorship includes activities such as in lab supervision, training, and help with reports and presentations. Consent of Department of Cell Biology required. Can be taken in any year or Spring/Summer session. Credit may be obtained more than once. Requires the submission of an initial project summary with student learning objectives, monthly progress and final reports.",LAB B1 (41915),No scheduled class times,Richard Wozniak
CELL 699B - Undergraduate Research Mentoring,"A credit/no-credit course for graduate students who are actively participating in the mentorship of undergraduate students in a full-term research course (e.g. CELL 499) in the Department of Cell Biology. Mentorship includes activities such as in lab supervision, training, and help with reports and presentations. Consent of Department of Cell Biology required. Can be taken in any year. Credit may be obtained more than once. Requires the submission of an initial project summary with student learning objectives, monthly progress and final reports",LAB C1 (41519),No scheduled class times,Richard Wozniak
CH E 243 - Engineering Thermodynamics,An introduction to the first and second laws of thermodynamics. Prerequisites: MATH 101.,LECTURE B1 (42798),2023-01-05 - 2023-04-12 MWF 15:00 - 15:50 (NRE 1-001),Ravin Narain
CH E 243 - Engineering Thermodynamics,An introduction to the first and second laws of thermodynamics. Prerequisites: MATH 101.,LECTURE B2 (42799),2023-01-05 - 2023-04-12 TH 08:00 - 09:20 (NRE 1-001),Ravin Narain
CH E 243 - Engineering Thermodynamics,An introduction to the first and second laws of thermodynamics. Prerequisites: MATH 101.,SEMINAR J11 (42800),2023-01-05 - 2023-04-12 M 08:00 - 08:50 (ETLC E1-018),Ravin Narain
CH E 243 - Engineering Thermodynamics,An introduction to the first and second laws of thermodynamics. Prerequisites: MATH 101.,SEMINAR J12 (42801),2023-01-05 - 2023-04-12 M 10:00 - 10:50 (ETLC E1-018),Ravin Narain
CH E 243 - Engineering Thermodynamics,An introduction to the first and second laws of thermodynamics. Prerequisites: MATH 101.,SEMINAR J13 (42802),2023-01-05 - 2023-04-12 M 16:00 - 16:50 (ETLC E1-018),Ravin Narain
CH E 243 - Engineering Thermodynamics,An introduction to the first and second laws of thermodynamics. Prerequisites: MATH 101.,SEMINAR J21 (42803),2023-01-05 - 2023-04-12 T 10:00 - 10:50 (NRE 2-090),Ravin Narain
CH E 243 - Engineering Thermodynamics,An introduction to the first and second laws of thermodynamics. Prerequisites: MATH 101.,SEMINAR J22 (42804),2023-01-05 - 2023-04-12 T 13:00 - 13:50 (NRE 1-143),Ravin Narain
CH E 312 - Fluid Mechanics,"Newtonian and non-Newtonian fluid behavior; hydrostatics; buoyancy, application of Bernoulli and momentum equations; frictional losses through pipes, ducts, and fittings; pipe networks; pumps; drag on submerged bodies and flow through porous media. Prerequisites: CH E 243 EN PH 131 and MATH 209. Corequisite: MATH 201.",LECTURE B1 (40402),2023-01-05 - 2023-04-12 MWF 11:00 - 11:50 (NRE 1-001),Robert Prybysh
CH E 312 - Fluid Mechanics,"Newtonian and non-Newtonian fluid behavior; hydrostatics; buoyancy, application of Bernoulli and momentum equations; frictional losses through pipes, ducts, and fittings; pipe networks; pumps; drag on submerged bodies and flow through porous media. Prerequisites: CH E 243 EN PH 131 and MATH 209. Corequisite: MATH 201.",LECTURE B2 (40558),2023-01-05 - 2023-04-12 TH 12:30 - 13:50 (NRE 1-001),R Sean Sanders
CH E 312 - Fluid Mechanics,"Newtonian and non-Newtonian fluid behavior; hydrostatics; buoyancy, application of Bernoulli and momentum equations; frictional losses through pipes, ducts, and fittings; pipe networks; pumps; drag on submerged bodies and flow through porous media. Prerequisites: CH E 243 EN PH 131 and MATH 209. Corequisite: MATH 201.",SEMINAR J11 (40555),2023-01-05 - 2023-04-12 M 14:00 - 14:50 (NRE 1-143),Robert Prybysh
CH E 312 - Fluid Mechanics,"Newtonian and non-Newtonian fluid behavior; hydrostatics; buoyancy, application of Bernoulli and momentum equations; frictional losses through pipes, ducts, and fittings; pipe networks; pumps; drag on submerged bodies and flow through porous media. Prerequisites: CH E 243 EN PH 131 and MATH 209. Corequisite: MATH 201.",SEMINAR J12 (40559),2023-01-05 - 2023-04-12 M 14:00 - 14:50 (NRE 2-127),R Sean Sanders
CH E 312 - Fluid Mechanics,"Newtonian and non-Newtonian fluid behavior; hydrostatics; buoyancy, application of Bernoulli and momentum equations; frictional losses through pipes, ducts, and fittings; pipe networks; pumps; drag on submerged bodies and flow through porous media. Prerequisites: CH E 243 EN PH 131 and MATH 209. Corequisite: MATH 201.",SEMINAR J31 (40556),2023-01-05 - 2023-04-12 W 08:00 - 08:50 (NRE 2-090),Robert Prybysh
CH E 312 - Fluid Mechanics,"Newtonian and non-Newtonian fluid behavior; hydrostatics; buoyancy, application of Bernoulli and momentum equations; frictional losses through pipes, ducts, and fittings; pipe networks; pumps; drag on submerged bodies and flow through porous media. Prerequisites: CH E 243 EN PH 131 and MATH 209. Corequisite: MATH 201.",SEMINAR J32 (40560),2023-01-05 - 2023-04-12 W 08:00 - 08:50 (ETLC E1-018),R Sean Sanders
CH E 314 - Heat Transfer,"Principles of conduction, convection and radiation heat transfer. Design and performance analysis of thermal systems based on these principles. Prerequisites: MATH 201, CH E 312. Corequisite: CH E 374.",LECTURE B1 (42951),2023-01-05 - 2023-04-12 MWF 13:00 - 13:50 (NRE 1-143),Joe Mmbaga
CH E 314 - Heat Transfer,"Principles of conduction, convection and radiation heat transfer. Design and performance analysis of thermal systems based on these principles. Prerequisites: MATH 201, CH E 312. Corequisite: CH E 374.",SEMINAR J11 (42952),2023-01-05 - 2023-04-12 M 15:00 - 15:50 (NRE 1-143),Joe Mmbaga
CH E 316 - Equilibrium Stage Process,"Design of separation processes with emphasis on the equilibrium stage concept, distillation, absorption and extraction. Prerequisites: CH E 343, 314. Corequisite: CH E 318. Credit may not be obtained in this course if previous credit has been obtained for CH E 416.",LECTURE B1 (40561),2023-01-05 - 2023-04-12 TH 08:00 - 09:20 (NRE 1-143),Joe Mmbaga
CH E 316 - Equilibrium Stage Process,"Design of separation processes with emphasis on the equilibrium stage concept, distillation, absorption and extraction. Prerequisites: CH E 343, 314. Corequisite: CH E 318. Credit may not be obtained in this course if previous credit has been obtained for CH E 416.",LAB H11 (40563),2023-01-05 - 2023-04-12 M 14:00 - 15:50 (GSB 8-11),Joe Mmbaga
CH E 318 - Mass Transfer,"Molecular and turbulent diffusion; mass transfer coefficients; mass transfer equipment design including absorption and cooling towers, adsorption and ion exchange. Prerequisites: CME 265, CH E 312 and 343. Corequisite: CH E 314. Credit may not be obtained in this course if previous credit has been obtained for CH E 418.",LECTURE B1 (42881),2023-01-05 - 2023-04-12 MWF 10:00 - 10:50 (MEC 3-1),Hasan Uludag
CH E 318 - Mass Transfer,"Molecular and turbulent diffusion; mass transfer coefficients; mass transfer equipment design including absorption and cooling towers, adsorption and ion exchange. Prerequisites: CME 265, CH E 312 and 343. Corequisite: CH E 314. Credit may not be obtained in this course if previous credit has been obtained for CH E 418.",LAB H21 (42882),2023-01-05 - 2023-04-12 T 15:30 - 17:20 (NRE 1-001),Hasan Uludag
CH E 343 - Chemical Engineering Thermodynamics,"Thermodynamics of non-ideal gases and liquids; vapour-liquid equilibrium, thermodynamics of chemical processes and multicomponent systems. Prerequisite: CH E 243. Corequisite: CME 265.",LECTURE B1 (42976),2023-01-05 - 2023-04-12 MWF 09:00 - 09:50 (ETLC E1-008),Janet A. W. Elliott
CH E 343 - Chemical Engineering Thermodynamics,"Thermodynamics of non-ideal gases and liquids; vapour-liquid equilibrium, thermodynamics of chemical processes and multicomponent systems. Prerequisite: CH E 243. Corequisite: CME 265.",SEMINAR J11 (42977),2023-01-05 - 2023-04-12 M 14:00 - 14:50 (NRE 2-090),Janet A. W. Elliott
CH E 345 - Chemical Reactor Analysis I,"Kinetics of chemical reactions and design of ideal chemical reactors. Prerequisites: CME 265, CH E 343 and 374. Credit may not be obtained in this course if previous credit has been obtained for CH E 434.",LECTURE B1 (42883),2023-01-05 - 2023-04-12 MWF 09:00 - 09:50 (ETLC E2-001),Samir H. Mushrif
CH E 345 - Chemical Reactor Analysis I,"Kinetics of chemical reactions and design of ideal chemical reactors. Prerequisites: CME 265, CH E 343 and 374. Credit may not be obtained in this course if previous credit has been obtained for CH E 434.",SEMINAR J51 (42884),2023-01-05 - 2023-04-12 F 15:00 - 15:50 (ETLC E2-002),Samir H. Mushrif
CH E 351 - Chemical Engineering Laboratory,"Technical report writing; thermodynamics, material, and energy balances, and calibration experiments. Prerequisites: ENGL 199 or equivalent, CME 265 and CH E 243. Corequisite: CH E 312.",LECTURE B1 (42929),2023-01-05 - 2023-04-12 TH 14:00 - 14:50 (MEC 3-1) 2023-01-05 - 2023-04-12 TH 14:00 - 14:50 (ETLC E2-002),"Dave Sharp
                                                        
                                                        
Artin Afacan"
