,Courses
951,"
                                    AUHIS 467A - The Collaborative Research Seminar: Selected Topics in Canadian History
                            "
952,"
                                    AUHIS 467B - The Collaborative Research Seminar: Selected Topics in Canadian History
                            "
953,"
                                    AUHIS 475 - Canadian Environmental History
                            "
954,"
                                    
                                        Starting: 2023-09-01
                                    
                                    AUHIS 475 - Canadian Environmental History
                            "
955,"
                                    AUHIS 480 - The Historian's Craft: Historiography
                            "
956,"
                                    AUHIS 480A - The Historian's Craft: Historiography
                            "
957,"
                                    AUHIS 480B - The Historian's Craft: Historiography
                            "
958,"
                                    AUHUM 100 - Selected Topics in Humanities
                            "
959,"
                                    AUHUM 100A - Selected Topics in Humanities
                            "
960,"
                                    AUHUM 100B - Selected Topics in Humanities
                            "
961,"
                                    AUHUM 200 - Selected Topics in Humanities
                            "
962,"
                                    AUHUM 200A - Selected Topics in Humanities
                            "
963,"
                                    AUHUM 200B - Selected Topics in Humanities
                            "
964,"
                                    AUHUM 276 - Introduction to Visual Culture Studies
                            "
965,"
                                    AUHUM 300 - Selected Topics in Humanities
                            "
966,"
                                    AUHUM 300A - Selected Topics in Fine Arts
                            "
967,"
                                    AUHUM 300B - Selected Topics in Humanities
                            "
968,"
                                    AUHUM 400 - Selected Topics in Humanities
                            "
969,"
                                    AUHUM 400A - Selected Topics in Humanities
                            "
970,"
                                    AUHUM 400B - Selected Topics in Humanities
                            "
971,"
                                    AUIDS 100 - The World in Progress: Inquiry in the Social Sciences
                            "
972,"
                                    AUIDS 101 - First Year Seminar
                            "
973,"
                                    AUIDS 137 - Science Laboratory Experiences
                            "
974,"
                                    AUIDS 201 - Collaborative Learning
                            "
975,"
                                    
                                        Starting: 2023-09-01
                                    
                                    AUIDS 201 - Collaborative Learning
                            "
976,"
                                    AUIDS 206 - Student Leadership: Theory and Practice
                            "
977,"
                                    AUIDS 206A - Student Leadership: Theory and Practice
                            "
978,"
                                    AUIDS 206B - Student Leadership: Theory and Practice
                            "
979,"
                                    AUIDS 211 - Interdisciplinary Science Projects
                            "
980,"
                                    AUIDS 230 - Introduction to Gender and Women's Studies
                            "
981,"
                                    AUIDS 244A - Introduction to Peer Tutoring and Second-Language Learning Practices in the Writing Centre
                            "
982,"
                                    AUIDS 244B - Introduction to Peer Tutoring and Second-Language Learning Practices in the Writing Centre
                            "
983,"
                                    AUIDS 250 - Foundations of Sustainability
                            "
984,"
                                    AUIDS 270 - Topics in Integrative Studies
                            "
985,"
                                    AUIDS 276 - Topics in Integrative Studies
                            "
986,"
                                    AUIDS 286 - Selected Topics in Place-Based Studies
                            "
987,"
                                    AUIDS 287 - Topics in Place-Based Learning
                            "
988,"
                                    AUIDS 290 - Directed Reading
                            "
989,"
                                    AUIDS 291 - Directed Reading
                            "
990,"
                                    AUIDS 292 - Integrative Studies (Cuba)
                            "
991,"
                                    AUIDS 301 - Community Partnership Project
                            "
992,"
                                    AUIDS 301A - Community Partnership Project
                            "
993,"
                                    AUIDS 301B - Community Partnership Project
                            "
994,"
                                    AUIDS 302 - Exploring Body Issues
                            "
995,"
                                    AUIDS 306 - Student Leadership: Theory and Practice
                            "
996,"
                                    AUIDS 306A - Student Leadership: Theory and Practice
                            "
997,"
                                    AUIDS 306B - Student Leadership: Theory and Practice
                            "
998,"
                                    AUIDS 330 - Selected Topics in Law, Crime and Justice
                            "
999,"
                                    AUIDS 370 - Topics in Integrative Studies
                            "
1000,"
                                    AUIDS 374 - Topics in Integrative Studies
                            "
1001,"
                                    AUIDS 378A - Topics in Integrative Studies
                            "
1002,"
                                    AUIDS 378B - Topics in Integrative Studies
                            "
1003,"
                                    AUIDS 386 - Selected Topics in Place-Based Studies
                            "
1004,"
                                    AUIDS 387 - Topics in Place-Based Learning
                            "
1005,"
                                    AUIDS 390 - Directed Reading
                            "
1006,"
                                    AUIDS 391 - Directed Reading
                            "
1007,"
                                    AUIDS 401 - Advanced Integration Project
                            "
1008,"
                                    AUIDS 401A - Advanced Integration Project
                            "
1009,"
                                    AUIDS 401B - Advanced Integration Project
                            "
1010,"
                                    AUIDS 406 - Capstone Course in Leadership
                            "
1011,"
                                    AUIDS 406A - Capstone Course in Leadership
                            "
1012,"
                                    AUIDS 406B - Capstone Course in Leadership
                            "
1013,"
                                    AUIDS 440 - Advanced Topics in Ethics and Global Studies
                            "
1014,"
                                    AUIDS 450 - Sustainability Studies Capstone
                            "
1015,"
                                    AUIND 101 - Introduction to Indigenous Studies
                            "
1016,"
                                    
                                        Starting: 2023-09-01
                                    
                                    AUIND 101 - Introduction to Indigenous Studies
                            "
1017,"
                                    AUIND 200 - Selected Topics in Indigenous Studies
                            "
1018,"
                                    AUIND 201 - Introduction to Indigenous Studies
                            "
1019,"
                                    AUIND 240 - Introduction to Indigenous Cultural Production
                            "
1020,"
                                    AUIND 300 - Selected Topics in Indigenous Studies
                            "
1021,"
                                    AUIND 367 - The Fur Trade
                            "
1022,"
                                    AUIND 370 - Oral History
                            "
1023,"
                                    AUIND 390 - Directed Studies in Indigenous Studies
                            "
1024,"
                                    AUIND 399 - Theories in Indigenous Studies
                            "
1025,"
                                    AUIND 400 - Selected Topics in Indigenous Studies
                            "
1026,"
                                    AUIND 467 - The Fur Trade
                            "
1027,"
                                    AUIND 470 - Oral History
                            "
1028,"
                                    AUIND 490 - Directed Studies in Indigenous Studies
                            "
1029,"
                                    AUIND 499 - Theories in Indigenous Studies
                            "
1030,"
                                    AULAN 101 - Introduction to Linguistic Analysis
                            "
1031,"
                                    AULAT 101 - Beginners' Latin I
                            "
1032,"
                                    AULAT 102 - Beginners' Latin II
                            "
1033,"
                                    AUMAT 101 - Preparation for Calculus
                            "
1034,"
                                    AUMAT 107 - Higher Arithmetic
                            "
1035,"
                                    AUMAT 110 - Elementary Calculus I
                            "
1036,"
                                    AUMAT 112 - Elementary Calculus II
                            "
1037,"
                                    AUMAT 116 - Calculus Concepts and Modelling
                            "
1038,"
                                    
                                        Starting: 2023-09-01
                                    
                                    AUMAT 116 - Calculus Concepts and Modelling
                            "
1039,"
                                    AUMAT 120 - Linear Algebra I
                            "
1040,"
                                    AUMAT 211 - Intermediate Calculus I
                            "
1041,"
                                    AUMAT 212 - Intermediate Calculus II
                            "
1042,"
                                    AUMAT 216 - Intermediate Calculus
                            "
1043,"
                                    AUMAT 220 - Linear Algebra II
                            "
1044,"
                                    AUMAT 229 - Introduction to Group Theory
                            "
1045,"
                                    AUMAT 235 - Mathematics in Economics and Finance
                            "
1046,"
                                    AUMAT 250 - Discrete Mathematics
                            "
1047,"
                                    AUMAT 260 - Foundations of Geometry
                            "
1048,"
                                    AUMAT 315 - Complex Variables
                            "
1049,"
                                    AUMAT 320 - Numerical Linear Algebra
                            "
1050,"
                                    AUMAT 328 - Cryptography
                            "
1051,"
                                    AUMAT 330 - Ordinary Differential Equations
                            "
1052,"
                                    AUMAT 332 - Mathematical Ecology and Dynamical Systems
                            "
1053,"
                                    AUMAT 350 - Optimization
                            "
1054,"
                                    AUMAT 353 - Applied Probability
                            "
1055,"
                                    AUMAT 395 - Directed Study
                            "
1056,"
                                    AUMAT 480 - History of Mathematics and Physics
                            "
1057,"
                                    AUMAT 495 - Directed Study
                            "
1058,"
                                    AUMGT 100 - Introduction to Business
                            "
1059,"
                                    AUMGT 200 - Introduction to Management
                            "
1060,"
                                    AUMGT 206 - Mathematics in Economics and Finance
                            "
1061,"
                                    AUMGT 310 - Corporate Finance
                            "
1062,"
                                    AUMGT 320 - Business Law
                            "
1063,"
                                    AUMGT 323 - Industrial Organization
                            "
1064,"
                                    AUMGT 330 - Introduction to Marketing
                            "
1065,"
                                    AUMGT 340 - Organizational Behaviour
                            "
1066,"
                                    AUMGT 345 - Organizational Theory
                            "
1067,"
                                    AUMGT 350 - Entrepreneurship
                            "
1068,"
                                    AUMGT 360 - Hockey: Culture and Commerce
                            "
1069,"
                                    AUMGT 370 - Organizational Research Methods
                            "
1070,"
                                    AUMGT 380 - Selected Topics in Management
                            "
1071,"
                                    AUMGT 381 - Selected Topics in Management
                            "
1072,"
                                    AUMGT 399A - Management Internship
                            "
1073,"
                                    AUMGT 399B - Management Internship
                            "
1074,"
                                    AUMGT 490 - Business Policy and Strategy
                            "
1075,"
                                    AUMUS 100 - Introduction to Music Theory
                            "
1076,"
                                    AUMUS 140 - Augustana Choir
                            "
1077,"
                                    AUMUS 141A - The Augustana Choir
                            "
1078,"
                                    AUMUS 141B - The Augustana Choir
                            "
1079,"
                                    AUMUS 142 - Choral Ensemble
                            "
1080,"
                                    AUMUS 143 - Choral Ensemble
                            "
1081,"
                                    AUMUS 146 - Choral Ensemble
                            "
1082,"
                                    AUMUS 148 - Choral Ensemble
                            "
1083,"
                                    AUMUS 149A - Instrumental Ensemble
                            "
1084,"
                                    AUMUS 149B - Instrumental Ensemble
                            "
1085,"
                                    AUMUS 160 - Theoretical and Analytical Studies I
                            "
1086,"
                                    AUMUS 162 - Aural, Sight Singing, and Keyboard Skills I
                            "
1087,"
                                    AUMUS 170 - Tuning In: An Introduction to Music
                            "
1088,"
                                    AUMUS 187 - Group Lesson
                            "
1089,"
                                    AUMUS 187A - Group Lesson
                            "
1090,"
                                    AUMUS 187B - Group Lesson
                            "
1091,"
                                    AUMUS 190 - Applied Music
                            "
1092,"
                                    AUMUS 191A - Applied Music
                            "
1093,"
                                    AUMUS 191B - Applied Music
                            "
1094,"
                                    AUMUS 192 - Applied Music
                            "
1095,"
                                    AUMUS 193A - Applied Music
                            "
1096,"
                                    AUMUS 193B - Applied Music
                            "
1097,"
                                    AUMUS 194 - Applied Music
                            "
1098,"
                                    AUMUS 195A - Applied Music
                            "
1099,"
                                    AUMUS 195B - Applied Music
                            "
1100,"
                                    AUMUS 196 - Applied Music
                            "
1101,"
                                    AUMUS 197 - Applied Music
                            "
1102,"
                                    AUMUS 221 - Selected Topics in Music
                            "
1103,"
                                    AUMUS 224 - Music from the Ancient to Baroque Eras
                            "
1104,"
                                    AUMUS 225 - Music from the Classical Era to the Present Day
                            "
1105,"
                                    AUMUS 226 - Music and the Moving Image
                            "
1106,"
                                    AUMUS 227 - History of Vocal Literature
                            "
1107,"
                                    AUMUS 231 - Lyric Diction
                            "
1108,"
                                    AUMUS 235 - Introduction to Conducting
                            "
1109,"
                                    AUMUS 236 - Introduction to Choral Techniques, Literature, and Interpretation
                            "
1110,"
                                    AUMUS 238 - Piano Pedagogy I
                            "
1111,"
                                    AUMUS 239 - Vocal Pedagogy I
                            "
1112,"
                                    AUMUS 240 - Augustana Choir
                            "
1113,"
                                    AUMUS 241A - The Augustana Choir
                            "
1114,"
                                    AUMUS 241B - The Augustana Choir
                            "
1115,"
                                    AUMUS 242 - Choral Ensemble
                            "
1116,"
                                    AUMUS 243 - Choral Ensemble
                            "
1117,"
                                    AUMUS 246 - Choral Ensemble
                            "
1118,"
                                    AUMUS 248 - Choral Ensemble
                            "
1119,"
                                    AUMUS 249A - Instrumental Ensemble
                            "
1120,"
                                    AUMUS 249B - Instrumental Ensemble
                            "
1121,"
                                    AUMUS 250 - Introduction to Music Education
                            "
1122,"
                                    AUMUS 252 - The Child Voice
                            "
1123,"
                                    AUMUS 260 - Theoretical and Analytical Studies II
                            "
1124,"
                                    AUMUS 261 - Theoretical and Analytical Studies III
                            "
1125,"
                                    AUMUS 262 - Aural, Sight Singing and Keyboard Skills II
                            "
1126,"
                                    AUMUS 263 - Aural, Sight Singing, and Keyboard Skills III
                            "
1127,"
                                    AUMUS 265A - Introduction to Composition
                            "
1128,"
                                    AUMUS 265B - Introduction to Composition
                            "
1129,"
                                    AUMUS 287 - Group Lesson
                            "
1130,"
                                    AUMUS 287A - Group Lesson
                            "
1131,"
                                    AUMUS 287B - Group Lesson
                            "
1132,"
                                    AUMUS 290 - Applied Music
                            "
1133,"
                                    AUMUS 291A - Applied Music
                            "
1134,"
                                    AUMUS 291B - Applied Music
                            "
1135,"
                                    AUMUS 292 - Applied Music
                            "
1136,"
                                    AUMUS 293A - Applied Music
                            "
1137,"
                                    AUMUS 293B - Applied Music
                            "
1138,"
                                    AUMUS 294 - Applied Music
                            "
1139,"
                                    AUMUS 295A - Applied Music
                            "
1140,"
                                    AUMUS 295B - Applied Music
                            "
1141,"
                                    AUMUS 296 - Applied Music
                            "
1142,"
                                    AUMUS 297 - Applied Music
                            "
1143,"
                                    AUMUS 327 - History of Vocal Literature
                            "
1144,"
                                    AUMUS 329 - History of Piano Literature
                            "
1145,"
                                    AUMUS 330A - Music for the Theatre
                            "
1146,"
                                    AUMUS 330B - Music for the Theatre
                            "
1147,"
                                    AUMUS 331 - Lyric Diction II
                            "
1148,"
                                    AUMUS 335 - Selected Topics in Music
                            "
1149,"
                                    AUMUS 335A - Selected Topics in Music
                            "
1150,"
                                    AUMUS 335B - Selected Topics in Music
                            "
1151,"
                                    AUMUS 336 - Advanced Conducting
                            "
1152,"
                                    AUMUS 338 - Piano Pedagogy II
                            "
1153,"
                                    AUMUS 339 - Vocal Pedagogy II
                            "
1154,"
                                    AUMUS 340 - Augustana Choir
                            "
1155,"
                                    AUMUS 341A - The Augustana Choir
                            "
1156,"
                                    AUMUS 341B - The Augustana Choir
                            "
1157,"
                                    AUMUS 342 - Choral Ensemble
                            "
1158,"
                                    AUMUS 343 - Choral Ensemble
                            "
1159,"
                                    AUMUS 346 - Choral Ensemble
                            "
1160,"
                                    AUMUS 347A - Chamber Ensemble
                            "
1161,"
                                    AUMUS 347B - Chamber Ensemble
                            "
1162,"
                                    AUMUS 348 - Choral Ensemble
                            "
1163,"
                                    AUMUS 349A - Instrumental Ensemble
                            "
1164,"
                                    AUMUS 349B - Instrumental Ensemble
                            "
1165,"
                                    AUMUS 351 - Music Education II
                            "
1166,"
                                    AUMUS 356 - Music and Wellness
                            "
1167,"
                                    AUMUS 369 - Popular Music: Analysis, Interpretation, Meaning
                            "
1168,"
                                    AUMUS 375 - Co-op Education Studies I
                            "
1169,"
                                    AUMUS 375A - Co-op Education Studies I
                            "
1170,"
                                    AUMUS 375B - Co-op Education Studies I
                            "
1171,"
                                    AUMUS 376 - Directed Studies I
                            "
1172,"
                                    AUMUS 387 - Group Lesson
                            "
1173,"
                                    AUMUS 387A - Group Lesson
                            "
1174,"
                                    AUMUS 387B - Group Lesson
                            "
1175,"
                                    AUMUS 391A - Applied Music
                            "
1176,"
                                    AUMUS 391B - Applied Music
                            "
1177,"
                                    AUMUS 393A - Applied Music
                            "
1178,"
                                    AUMUS 393B - Applied Music
                            "
1179,"
                                    AUMUS 394 - Applied Music
                            "
1180,"
                                    AUMUS 395A - Applied Music
                            "
1181,"
                                    AUMUS 395B - Applied Music
                            "
1182,"
                                    AUMUS 396 - Performance Studies I
                            "
1183,"
                                    AUMUS 396A - Performance Studies I
                            "
1184,"
                                    AUMUS 396B - Performance Studies I
                            "
1185,"
                                    AUMUS 397A - Applied Music
                            "
1186,"
                                    AUMUS 397B - Applied Music
                            "
1187,"
                                    AUMUS 398 - Fundamental Keyboard Skills
                            "
1188,"
                                    AUMUS 399A - Fundamental Keyboard Skills
                            "
1189,"
                                    AUMUS 399B - Fundamental Keyboard Skills
                            "
1190,"
                                    AUMUS 430 - Selected Topics in Music
                            "
1191,"
                                    AUMUS 440 - Augustana Choir
                            "
1192,"
                                    AUMUS 441A - The Augustana Choir
                            "
1193,"
                                    AUMUS 441B - The Augustana Choir
                            "
1194,"
                                    AUMUS 442 - Choral Ensemble
                            "
1195,"
                                    AUMUS 443 - Choral Ensemble
                            "
1196,"
                                    AUMUS 446 - Choral Ensemble
                            "
1197,"
                                    AUMUS 447A - Chamber Ensemble
                            "
1198,"
                                    AUMUS 447B - Chamber Ensemble
                            "
1199,"
                                    AUMUS 448 - Choral Ensemble
                            "
1200,"
                                    AUMUS 449A - Instrumental Ensemble
                            "
1201,"
                                    AUMUS 449B - Instrumental Ensemble
                            "
1202,"
                                    AUMUS 469 - Retheorizing Music: From Modernism to Postmodernism
                            "
1203,"
                                    AUMUS 475 - Co-op Education Studies II
                            "
1204,"
                                    AUMUS 475A - Co-op Education Studies II
                            "
1205,"
                                    AUMUS 475B - Co-op Education Studies II
                            "
1206,"
                                    AUMUS 476 - Directed Studies II
                            "
1207,"
                                    AUMUS 487 - Group Lesson
                            "
1208,"
                                    AUMUS 487A - Group Lesson
                            "
1209,"
                                    AUMUS 487B - Group Lesson
                            "
1210,"
                                    AUMUS 490 - Applied Music
                            "
1211,"
                                    AUMUS 491A - Applied Music
                            "
1212,"
                                    AUMUS 491B - Applied Music
                            "
1213,"
                                    AUMUS 493A - Applied Music
                            "
1214,"
                                    AUMUS 493B - Applied Music
                            "
1215,"
                                    AUMUS 494 - Applied Music
                            "
1216,"
                                    AUMUS 495A - Applied Music
                            "
1217,"
                                    AUMUS 495B - Applied Music
                            "
1218,"
                                    AUMUS 496 - Performance Studies II
                            "
1219,"
                                    AUMUS 496A - Performance Studies II
                            "
1220,"
                                    AUMUS 496B - Performance Studies II
                            "
1221,"
                                    AUMUS 497A - Applied Music
                            "
1222,"
                                    AUMUS 497B - Applied Music
                            "
1223,"
                                    AUMUS 498 - Fundamental Keyboard Skills
                            "
1224,"
                                    AUMUS 499A - Fundamental Keyboard Skills
                            "
1225,"
                                    AUMUS 499B - Fundamental Keyboard Skills
                            "
1226,"
                                    AUMUS 540 - Augustana Choir
                            "
1227,"
                                    AUMUS 541A - Augustana Choir
                            "
1228,"
                                    AUMUS 541B - Augustana Choir
                            "
1229,"
                                    AUMUS 542 - Choral Ensemble
                            "
1230,"
                                    AUMUS 543 - Choral Ensemble
                            "
1231,"
                                    AUMUS 587 - Group Lesson
                            "
1232,"
                                    AUMUS 587A - Group Lesson
                            "
1233,"
                                    AUMUS 587B - Group Lesson
                            "
1234,"
                                    AUMUS 591A - Applied Music
                            "
1235,"
                                    AUMUS 591B - Applied Music
                            "
1236,"
                                    AUMUS 593A - Applied Music
                            "
1237,"
                                    AUMUS 593B - Applied Music
                            "
1238,"
                                    AUMUS 594 - Applied Music
                            "
1239,"
                                    AUMUS 595A - Applied Music
                            "
1240,"
                                    AUMUS 595B - Applied Music
                            "
1241,"
                                    AUPAC 103 - Tennis
                            "
1242,"
                                    AUPAC 109 - Cross-Country Skiing
                            "
1243,"
                                    AUPAC 114 - Dance
                            "
1244,"
                                    AUPAC 123 - Aquatics
                            "
1245,"
                                    AUPAC 124 - Badminton
                            "
1246,"
                                    AUPAC 125 - Canoeing
                            "
1247,"
                                    AUPAC 133 - Strength Training
                            "
1248,"
                                    AUPAC 134 - Indoor Climbing
                            "
1249,"
                                    AUPAC 151 - Track and Field
                            "
1250,"
                                    AUPAC 152 - Luge
                            "
1251,"
                                    AUPAC 161 - Gymnastics
                            "
1252,"
                                    AUPAC 173 - Football
                            "
1253,"
                                    AUPAC 177 - Soccer
                            "
1254,"
                                    AUPAC 178 - Basketball
                            "
1255,"
                                    AUPAC 179 - Volleyball
                            "
1256,"
                                    AUPAC 180 - Softball (Fast Pitch)
                            "
1257,"
                                    AUPAC 181 - Team Handball
                            "
1258,"
                                    AUPAC 191 - Selected Topics in Physical Activity
                            "
1259,"
                                    AUPAC 193 - Selected Topics in Physical Activity
                            "
1260,"
                                    AUPAC 224 - Advanced Badminton
                            "
1261,"
                                    AUPAC 226 - Moving Water Canoeing: Skill Development
                            "
1262,"
                                    AUPAC 253 - Advanced Luge
                            "
1263,"
                                    AUPAC 270 - Adventure Games
                            "
1264,"
                                    AUPAC 277 - Advanced Soccer
                            "
1265,"
                                    AUPAC 278 - Advanced Basketball
                            "
1266,"
                                    AUPAC 279 - Advanced Volleyball
                            "
1267,"
                                    AUPAC 291 - Selected Topics in Physical Activity
                            "
1268,"
                                    AUPAC 293 - Selected Topics in Physical Activity
                            "
1269,"
                                    AUPAC 326 - Moving Water Canoeing: Skill and Instructional Development
                            "
1270,"
                                    AUPED 112 - Structural Human Anatomy
                            "
1271,"
                                    AUPED 160 - Sociocultural Aspects of Sport and Physical Activity
                            "
1272,"
                                    AUPED 180 - Outdoor Skills for Work and Recreation
                            "
1273,"
                                    AUPED 184 - Introduction to Outdoor Education - Snowshoeing
                            "
1274,"
                                    AUPED 185 - Introduction to Ski Touring
                            "
1275,"
                                    AUPED 215 - Introduction to Human Physiology I
                            "
1276,"
                                    AUPED 216 - Introduction to Human Physiology II
                            "
1277,"
                                    AUPED 220 - Human Growth and Development
                            "
1278,"
                                    AUPED 222 - Introduction to Movement Activities of Youth (Ages 5 - 12)
                            "
1279,"
                                    AUPED 232 - Introduction to Biomechanics
                            "
1280,"
                                    AUPED 241 - Lifetime Fitness and Wellness
                            "
1281,"
                                    AUPED 245 - Health and Wellness for Life
                            "
1282,"
                                    AUPED 251 - Prevention and Care of Athletic Injuries
                            "
1283,"
                                    AUPED 261 - Psychology of Sport
                            "
1284,"
                                    AUPED 262 - Sport, Physical Activity, and the Body: Historical Perspectives
                            "
1285,"
                                    AUPED 266 - Gender in Sport and Physical Activity
                            "
1286,"
                                    AUPED 275 - Introduction to Coaching Studies
                            "
1287,"
                                    AUPED 281 - Explorations of the Canadian North
                            "
1288,"
                                    AUPED 282 - Legal Liability and Risk Management in Physical Education, Sport and Outdoor Education
                            "
1289,"
                                    AUPED 283 - Introduction to Outdoor Education - Backpacking
                            "
1290,"
                                    AUPED 284 - Introduction to Outdoor Education - Canoeing
                            "
1291,"
                                    AUPED 285 - Introduction to Ski Touring
                            "
1292,"
                                    AUPED 286 - Outdoor Education and Leadership
                            "
1293,"
                                    AUPED 290 - Studies in Leadership Theory
                            "
1294,"
                                    AUPED 292 - Physical Education Practicum
                            "
1295,"
                                    AUPED 293 - Introduction to Research in Physical Education
                            "
1296,"
                                    AUPED 314 - Exercise Physiology
                            "
1297,"
                                    AUPED 317 - Exercise in Special Populations
                            "
1298,"
                                    AUPED 343 - Training Methodologies and Athletic Performance
                            "
1299,"
                                    AUPED 344 - Introduction to Human Nutrition
                            "
1300,"
                                    AUPED 360 - Hockey: Culture and Commerce
                            "
1301,"
                                    AUPED 368 - History of Sport in Canada
                            "
1302,"
                                    AUPED 369 - The Modern Olympic Games
                            "
1303,"
                                    AUPED 370 - Selected Topics in Physical Education and Sport
                            "
1304,"
                                    AUPED 374 - Selected Topics in Physical Education and Sport
                            "
1305,"
                                    AUPED 375 - Selected Topics in Physical Education and Sport
                            "
1306,"
                                    AUPED 380 - Solo Outdoor Experiences for Wellness
                            "
1307,"
                                    AUPED 383 - Programming and Processing the Adventure Experience
                            "
1308,"
                                    AUPED 387 - Arctic Expedition Planning
                            "
1309,"
                                    AUPED 388 - Arctic Canoe Expedition
                            "
1310,"
                                    AUPED 389 - Foundations of Outdoor, Adventure, and Experiential Education
                            "
1311,"
                                    AUPED 393 - Tests and Measurements in Physical Education
                            "
1312,"
                                    AUPED 414 - Advanced Exercise and Occupational Physiology
                            "
1313,"
                                    AUPED 462 - Issues in Physical Education
                            "
1314,"
                                    AUPED 469 - Sport and Canadian Popular Culture
                            "
1315,"
                                    AUPED 490 - Directed Study I
                            "
1316,"
                                    AUPED 491 - Directed Study II
                            "
1317,"
                                    AUPED 492 - Directed Study III
                            "
1318,"
                                    AUPED 497 - Directed Study IV
                            "
1319,"
                                    AUPHI 101 - Introduction to Western Philosophy I: Ancient and Medieval Philosophy
                            "
1320,"
                                    AUPHI 102 - Introduction to Western Philosophy II: Modern Philosophy
                            "
1321,"
                                    AUPHI 180 - Critical Thinking
                            "
1322,"
                                    AUPHI 200 - Metaphysics: Theories of Reality
                            "
1323,"
                                    AUPHI 210 - Epistemology: Theories of Knowledge
                            "
1324,"
                                    AUPHI 226 - Existentialism
                            "
1325,"
                                    AUPHI 240 - Ancient Political Philosophy
                            "
1326,"
                                    AUPHI 241 - Modern Political Philosophy
                            "
1327,"
                                    AUPHI 250 - History of Christian Thought
                            "
1328,"
                                    AUPHI 260 - Ethics
                            "
1329,"
                                    AUPHI 277 - Women, Darkness and Crooked Things: Feminist Philosophy
                            "
1330,"
                                    AUPHI 290 - Philosophy of Contemporary Culture
                            "
1331,"
                                    AUPHI 325 - Phenomenology
                            "
1332,"
                                    AUPHI 336 - Nineteenth-Century Philosophy
                            "
1333,"
                                    AUPHI 340 - Contemporary Social and Political Philosophy
                            "
1334,"
                                    AUPHI 345 - Philosophy in Canada
                            "
1335,"
                                    AUPHI 350 - Philosophy of Science
                            "
1336,"
                                    AUPHI 351 - Thinking About Sex: Philosophy, Science, and the Construction of Sex
                            "
1337,"
                                    AUPHI 355 - Philosophy and the Environment
                            "
1338,"
                                    AUPHI 357 - Philosophy of Religion I
                            "
1339,"
                                    AUPHI 358 - Philosophy of Religion II
                            "
1340,"
                                    AUPHI 365 - Aesthetics
                            "
1341,"
                                    AUPHI 390 - Indigenous Thought: First Nations Thought and Knowledge
                            "
1342,"
                                    AUPHI 392 - World Philosophy: Comparing Perspectives
                            "
1343,"
                                    AUPHI 422 - Philosophy, Religion and Public Life Research Seminar I
                            "
1344,"
                                    AUPHI 423 - Philosophy, Religion and Public Life Research Seminar II
                            "
1345,"
                                    AUPHI 492 - Selected Topics in the History of Philosophy III
                            "
1346,"
                                    AUPHI 493 - Selected Topics in the History of Philosophy IV
                            "
1347,"
                                    AUPHI 495 - Directed Studies I
                            "
1348,"
                                    AUPHI 496 - Directed Studies II
                            "
1349,"
                                    AUPHI 497 - Directed Studies III
                            "
